STATION_ID,CITY,COUNTRY,COUNTRY_ISO,CODEN,LATITUDE,LONGITUDE,ELEVATION,Year,Season,AVG_PRCP,AVG_TAVG,AVG_TMAX,AVG_TMIN
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1940,Fall,1.78,27.47,21.98,10.98
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1940,Spring,1.57,27.75,22.84,9.82
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1940,Summer,0.15,37.81,29.64,16.34
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1940,Winter,2.61,21.27,17.83,6.88
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1941,Fall,1.99,27.41,22.17,10.49
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1941,Spring,1.24,27.5,22.5,9.99
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1941,Summer,0.15,39.46,30.82,17.29
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1941,Winter,1.3,20.79,17.53,6.51
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1942,Fall,0.12,30.35,24.22,12.25
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1942,Spring,0.85,31.73,25.79,11.88
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1942,Summer,0.05,39.15,30.7,16.91
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1942,Winter,2.37,18.75,15.73,6.04
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1943,Fall,3.71,15.28,20.96,10.99
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1943,Spring,1.14,20.13,24.85,12.38
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1943,Summer,0.05,25.3,31.53,18.27
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1943,Winter,2.35,19.25,16.82,6.81
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1944,Fall,2.04,15.67,21.5,10.6
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1944,Spring,0.63,18.07,24.02,11.28
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1944,Summer,0.39,25.29,30.35,19.07
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1944,Winter,2.9,9.24,15.53,4.13
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1945,Fall,2.51,16.81,22.75,11.43
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1945,Spring,0.51,19.74,25.83,12.53
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1945,Summer,0.1,25.79,31.56,19.59
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1945,Winter,2.07,10.55,16.26,5.74
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1946,Fall,1.12,29.18,23.1,12.17
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1946,Spring,3.07,29.87,23.6,12.54
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1946,Summer,0.06,39.64,30.89,17.52
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1946,Winter,4.01,18.26,16.04,5.94
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1947,Fall,4.57,28.05,21.93,12.22
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1947,Spring,0.43,30.11,24.12,11.98
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1947,Summer,0.2,41.46,31.51,19.9
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1947,Winter,2.12,23.04,18.78,8.53
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1948,Fall,1.52,28.75,23.08,11.35
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1948,Spring,1.35,29.93,23.56,12.73
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1948,Summer,0.27,38.3,29.85,16.9
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1948,Winter,2.65,21.66,18.08,7.15
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1949,Fall,1.79,29.55,23.28,12.56
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1949,Spring,1.8,28.91,23.06,11.71
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1949,Summer,0.03,41.51,32.08,18.87
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1949,Winter,3.18,19.78,16.65,6.24
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1950,Fall,1.99,28.58,22.76,11.64
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1950,Spring,2.23,28.95,23.09,11.72
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1950,Summer,0.2,41.82,32.07,19.49
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1950,Winter,3.19,19.55,16.57,5.96
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1951,Fall,4.07,27.44,21.6,11.68
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1951,Spring,0.68,28.64,23.1,11.09
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1951,Summer,0.71,39.49,30.09,18.8
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1951,Winter,2.94,20.89,17.28,7.22
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1952,Fall,2.18,28.81,22.72,12.17
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1952,Spring,1.6,30.94,24.31,13.26
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1952,Summer,0.55,41.58,31.23,20.69
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1952,Winter,2.58,19.83,16.49,6.68
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1953,Fall,1.49,29.83,23.43,12.79
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1953,Spring,1.58,29.42,23.43,11.96
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1953,Summer,0.12,39.44,30.06,18.76
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1953,Winter,3.76,17.1,14.64,4.93
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1954,Fall,2.11,28.51,22.47,12.07
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1954,Spring,2.63,28.43,22.48,11.91
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1954,Summer,0.01,39.04,30.16,17.76
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1954,Winter,3.02,18.75,15.55,6.39
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1955,Fall,2.19,28.47,22.55,11.84
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1955,Spring,1.35,30.77,24.08,13.38
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1955,Summer,0.26,41.42,31.7,19.44
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1955,Winter,3.09,21.8,17.86,7.87
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1956,Fall,2.27,25.82,21.04,9.58
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1956,Spring,1.15,27.31,22.14,10.34
